instrument,granularity,time,open,high,low,close,volume
EUR_USD,H1,2026-06-02T05:00:00.000000000Z,1.1638,1.16398,1.16362,1.16371,1689
EUR_USD,H1,2026-06-02T06:00:00.000000000Z,1.16372,1.16522,1.16372,1.16506,5714
EUR_USD,H1,2026-06-02T07:00:00.000000000Z,1.16504,1.16508,1.1645,1.16486,4566
EUR_USD,H1,2026-06-02T08:00:00.000000000Z,1.16486,1.16526,1.16422,1.16436,4030
EUR_USD,H1,2026-06-02T09:00:00.000000000Z,1.16437,1.1645,1.16402,1.16433,4063
EUR_USD,H1,2026-06-02T10:00:00.000000000Z,1.16434,1.16461,1.16384,1.16437,3347
EUR_USD,H1,2026-06-02T11:00:00.000000000Z,1.16438,1.16528,1.16437,1.16496,3633
EUR_USD,H1,2026-06-02T12:00:00.000000000Z,1.16497,1.16558,1.16474,1.16505,5471
EUR_USD,H1,2026-06-02T13:00:00.000000000Z,1.16505,1.16524,1.16396,1.16434,7424
EUR_USD,H1,2026-06-02T14:00:00.000000000Z,1.16434,1.165,1.16361,1.16436,8144
EUR_USD,H1,2026-06-02T15:00:00.000000000Z,1.16436,1.16452,1.16356,1.16406,6375
EUR_USD,H1,2026-06-02T16:00:00.000000000Z,1.16407,1.16412,1.16268,1.16284,3623
EUR_USD,H1,2026-06-02T17:00:00.000000000Z,1.16283,1.16298,1.16202,1.16216,2855
EUR_USD,H1,2026-06-02T18:00:00.000000000Z,1.16216,1.163,1.16135,1.16285,3543
EUR_USD,H1,2026-06-02T19:00:00.000000000Z,1.16286,1.16332,1.16286,1.16323,2160
EUR_USD,H1,2026-06-02T20:00:00.000000000Z,1.16324,1.16349,1.163,1.1631,1498
EUR_USD,H1,2026-06-02T21:00:00.000000000Z,1.16299,1.16332,1.16292,1.163,889
EUR_USD,H1,2026-06-02T22:00:00.000000000Z,1.16299,1.16302,1.16264,1.16267,1165
EUR_USD,H1,2026-06-02T23:00:00.000000000Z,1.16268,1.16275,1.16198,1.16213,2361
EUR_USD,H1,2026-06-03T00:00:00.000000000Z,1.16212,1.16308,1.16204,1.16289,3234
EUR_USD,H1,2026-06-03T01:00:00.000000000Z,1.1629,1.16336,1.16264,1.16296,3568
EUR_USD,H1,2026-06-03T02:00:00.000000000Z,1.16296,1.1632,1.1625,1.1628,2086
